system:index,Aver_K2O_rate_kg_ha,Aver_N_P2O5_K2O_rate_kg_ha,Aver_N_rate_kg_ha,Aver_P2O5_rate_kg_ha,COUNTRY_NA,Country,Crop,Crop_area_k_ha,FUBC_report_number,ISO3_code,K2O_k_t,K2O_pc_fert,K2O_rate_kg_ha,N_P2O5_K2O_k_t,N_k_t,N_pc_fert,N_rate_kg_ha,OBJECTID,Original_country_name_in_FUBC_report,P2O5_k_t,P2O5_pc_fert,P2O5_rate_kg_ha,Region_IFA,Shape_Area,Shape_Le_1,Shape_Leng,Year,Year_FUBC_publication,.geo
00000000000000001c29,34.51903453,93.51999495,42.99776517,16.00319525,Brazil,Brazil,Grassland,2598.856,9,BRA,89.71,NA,NA,243.045,111.745,NA,NA,33,Brazil,41.59,NA,NA,Latin America,707.007249392,365.115443676,365.115443676,2018,2022,"{""type"":""Point"",""coordinates"":[-53.20676338019644,-10.625459296118054]}"
00000000000000001c2a,44.44762599,152.8962807,68.45517025,39.9934845,Brazil,Brazil,Maize,17496.75,9,BRA,777.689,NA,NA,2675.188,1197.743,NA,NA,33,Brazil,699.756,NA,NA,Latin America,707.007249392,365.115443676,365.115443676,2018,2022,"{""type"":""Point"",""coordinates"":[-53.20676338019644,-10.625459296118054]}"
00000000000000001c2b,45.56056261,102.0483408,29.90577632,26.58200191,Brazil,Brazil,Other cereals,732.3,9,BRA,33.364,NA,NA,74.73,21.9,NA,NA,33,Brazil,19.466,NA,NA,Latin America,707.007249392,365.115443676,365.115443676,2018,2022,"{""type"":""Point"",""coordinates"":[-53.20676338019644,-10.625459296118054]}"
00000000000000001c2c,22.99932654,69.49530482,24.5347679,21.96121038,Brazil,Brazil,Residual,11457.292,9,BRA,263.51,NA,NA,796.228,281.102,NA,NA,33,Brazil,251.616,NA,NA,Latin America,707.007249392,365.115443676,365.115443676,2018,2022,"{""type"":""Point"",""coordinates"":[-53.20676338019644,-10.625459296118054]}"
00000000000000001c2d,37.00167504,155.3244718,82.77246447,35.55033231,Brazil,Brazil,Rice,1850.7,9,BRA,68.479,NA,NA,287.459,153.187,NA,NA,33,Brazil,65.793,NA,NA,Latin America,707.007249392,365.115443676,365.115443676,2018,2022,"{""type"":""Point"",""coordinates"":[-53.20676338019644,-10.625459296118054]}"
00000000000000001c2e,301.6455858,861.5191003,147.1070826,412.766432,Brazil,Brazil,Roots/tubers,125.548,9,BRA,37.871,NA,NA,108.162,18.469,NA,NA,33,Brazil,51.822,NA,NA,Latin America,707.007249392,365.115443676,365.115443676,2018,2022,"{""type"":""Point"",""coordinates"":[-53.20676338019644,-10.625459296118054]}"
00000000000000001c2f,89.21991074,197.3008661,15.66667875,92.4142766,Brazil,Brazil,Soybeans,35874.1,9,BRA,3200.684,NA,NA,7077.991,562.028,NA,NA,33,Brazil,3315.279,NA,NA,Latin America,707.007249392,365.115443676,365.115443676,2018,2022,"{""type"":""Point"",""coordinates"":[-53.20676338019644,-10.625459296118054]}"
00000000000000001c30,65.6491028,162.0394419,76.07638159,20.3139575,Brazil,Brazil,Sugar cane,11772.103,9,BRA,772.828,NA,NA,1907.545,895.579,NA,NA,33,Brazil,239.138,NA,NA,Latin America,707.007249392,365.115443676,365.115443676,2018,2022,"{""type"":""Point"",""coordinates"":[-53.20676338019644,-10.625459296118054]}"
00000000000000001c31,39.30102742,111.2353687,39.28548201,32.64885924,Brazil,Brazil,Vegetables,3152.055,9,BRA,123.879,NA,NA,350.62,123.83,NA,NA,33,Brazil,102.911,NA,NA,Latin America,707.007249392,365.115443676,365.115443676,2018,2022,"{""type"":""Point"",""coordinates"":[-53.20676338019644,-10.625459296118054]}"
00000000000000001c32,44.28998566,131.8107721,55.46385419,32.05693221,Brazil,Brazil,Wheat,2441.5,9,BRA,108.134,NA,NA,321.816,135.415,NA,NA,33,Brazil,78.267,NA,NA,Latin America,707.007249392,365.115443676,365.115443676,2018,2022,"{""type"":""Point"",""coordinates"":[-53.20676338019644,-10.625459296118054]}"
00000000000000001ca3,NA,NA,NA,NA,Costa Rica,Costa Rica,Bean,50,1,CRI,0.1,10,25,0.4,0.1,10,25,58,COSTA RICA,0.1,10,25,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ca4,NA,NA,NA,NA,Costa Rica,Costa Rica,Bean,50,3,CRI,0.125,10,25,0.375,0.125,10,25,58,Costa Rica,0.125,10,25,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ca5,NA,NA,NA,NA,Costa Rica,Costa Rica,Bean,50,4,CRI,0.1,10,25,0.4,0.1,10,25,58,Costa Rica,0.1,10,25,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ca6,NA,NA,NA,NA,Costa Rica,Costa Rica,Cocoa,10,1,CRI,0.2,30,50,0.6,0.3,30,100,58,COSTA RICA,0.2,30,50,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ca7,NA,NA,NA,NA,Costa Rica,Costa Rica,Cocoa,10,3,CRI,0.15,30,50,0.6,0.3,30,100,58,Costa Rica,0.15,30,50,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ca8,NA,NA,NA,NA,Costa Rica,Costa Rica,Cocoa,10,4,CRI,0.2,30,50,0.6,0.3,30,100,58,Costa Rica,0.2,30,50,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ca9,NA,NA,NA,NA,Costa Rica,Costa Rica,Fruits (Other),16,1,CRI,0.5,40,75,1.9,1,40,150,58,COSTA RICA,0.5,40,75,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001caa,NA,NA,NA,NA,Costa Rica,Costa Rica,Maize,60,1,CRI,0.5,40,20,2.4,1.4,40,60,58,COSTA RICA,0.5,40,20,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cab,NA,NA,NA,NA,Costa Rica,Costa Rica,Fruits (other),16,3,CRI,0.48,40,75,1.92,0.96,40,150,58,Costa Rica,0.48,40,75,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cac,NA,NA,NA,NA,Costa Rica,Costa Rica,Maize,60,3,CRI,0.48,40,20,2.4,1.44,40,60,58,Costa Rica,0.48,40,20,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cad,NA,NA,NA,NA,Costa Rica,Costa Rica,Fruits/Others,16,4,CRI,0.5,40,75,1.9,1,40,150,58,Costa Rica,0.5,40,75,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cae,NA,NA,NA,NA,Costa Rica,Costa Rica,Maize,60,4,CRI,0.5,40,20,2.4,1.4,40,60,58,Costa Rica,0.5,40,20,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001caf,NA,NA,NA,NA,Costa Rica,Costa Rica,Sorghum,5,1,CRI,0.1,60,30,0.4,0.2,60,80,58,COSTA RICA,0.1,60,30,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cb0,NA,NA,NA,NA,Costa Rica,Costa Rica,Sorghum,5,3,CRI,0.09,60,30,0.42,0.24,60,80,58,Costa Rica,0.09,60,30,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cb1,NA,NA,NA,NA,Costa Rica,Costa Rica,Sorghum,5,4,CRI,0.1,60,30,0.4,0.2,60,80,58,Costa Rica,0.1,60,30,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cb2,NA,NA,NA,NA,Costa Rica,Costa Rica,Cotton,1,1,CRI,0.1,70,120,0.3,0.1,70,200,58,COSTA RICA,0.1,70,120,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cb3,NA,NA,NA,NA,Costa Rica,Costa Rica,Cotton,1,3,CRI,0.084,70,120,0.308,0.14,70,200,58,Costa Rica,0.084,70,120,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cb4,NA,NA,NA,NA,Costa Rica,Costa Rica,Cotton,1,4,CRI,0.1,70,120,0.3,0.1,70,200,58,Costa Rica,0.1,70,120,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cb5,NA,NA,NA,NA,Costa Rica,Costa Rica,Coffee,105,1,CRI,8.4,80,100,29.4,16.8,80,200,58,COSTA RICA,4.2,80,50,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cb6,NA,NA,NA,NA,Costa Rica,Costa Rica,Pineapple,6,1,CRI,2.4,80,500,4.3,1.4,80,300,58,COSTA RICA,0.5,80,100,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cb7,NA,NA,NA,NA,Costa Rica,Costa Rica,Sugar cane,40,1,CRI,1.6,80,50,6.4,3.2,80,100,58,COSTA RICA,1.6,80,50,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cb8,NA,NA,NA,NA,Costa Rica,Costa Rica,Coffee,105,3,CRI,8.4,80,100,29.4,16.8,80,200,58,Costa Rica,4.2,80,50,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cb9,NA,NA,NA,NA,Costa Rica,Costa Rica,Pineapple,6,3,CRI,2.4,80,500,4.32,1.44,80,300,58,Costa Rica,0.48,80,100,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cba,NA,NA,NA,NA,Costa Rica,Costa Rica,Sugar cane,40,3,CRI,1.6,80,50,6.4,3.2,80,100,58,Costa Rica,1.6,80,50,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cbb,NA,NA,NA,NA,Costa Rica,Costa Rica,Coffee,105,4,CRI,8.4,80,100,29.4,16.8,80,200,58,Costa Rica,4.2,80,50,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cbc,NA,NA,NA,NA,Costa Rica,Costa Rica,Pineapple,6,4,CRI,2.4,80,500,4.3,1.4,80,300,58,Costa Rica,0.5,80,100,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cbd,NA,NA,NA,NA,Costa Rica,Costa Rica,Sugarcane,40,4,CRI,1.6,80,50,6.4,3.2,80,100,58,Costa Rica,1.6,80,50,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cbe,NA,NA,NA,NA,Costa Rica,Costa Rica,Rice,40,1,CRI,0.9,85,25,6.3,4.1,85,120,58,COSTA RICA,1.4,85,40,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cbf,NA,NA,NA,NA,Costa Rica,Costa Rica,Rice,40,3,CRI,0.85,85,25,6.29,4.08,85,120,58,Costa Rica,1.36,85,40,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cc0,NA,NA,NA,NA,Costa Rica,Costa Rica,Rice,40,4,CRI,0.9,85,25,6.3,4.1,85,120,58,Costa Rica,1.4,85,40,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cc1,NA,NA,NA,NA,Costa Rica,Costa Rica,Banana,29,1,CRI,17.4,100,600,34.8,14.5,100,500,58,COSTA RICA,2.9,100,100,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cc2,NA,NA,NA,NA,Costa Rica,Costa Rica,Oil-Palm,25,1,CRI,2.5,100,100,3.8,1.3,100,50,58,COSTA RICA,0,NA,NA,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cc3,NA,NA,NA,NA,Costa Rica,Costa Rica,Potato,3,1,CRI,0.6,100,200,2.7,0.6,100,200,58,COSTA RICA,1.5,100,500,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cc4,NA,NA,NA,NA,Costa Rica,Costa Rica,Tobacco,1,1,CRI,0.4,100,400,1,0.2,100,200,58,COSTA RICA,0.4,100,400,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cc5,NA,NA,NA,NA,Costa Rica,Costa Rica,Vegetables,9,1,CRI,1.8,100,200,5.4,1.8,100,200,58,COSTA RICA,1.8,100,200,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1992,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cc6,NA,NA,NA,NA,Costa Rica,Costa Rica,Banana,29,3,CRI,17.4,100,600,34.8,14.5,100,500,58,Costa Rica,2.9,100,100,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cc7,NA,NA,NA,NA,Costa Rica,Costa Rica,Oil-palm,25,3,CRI,2.5,100,100,3.75,1.25,100,50,58,Costa Rica,0,NA,NA,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cc8,NA,NA,NA,NA,Costa Rica,Costa Rica,Potato,3,3,CRI,0.6,100,200,2.7,0.6,100,200,58,Costa Rica,1.5,100,500,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cc9,NA,NA,NA,NA,Costa Rica,Costa Rica,Tobacco,1,3,CRI,0.4,100,400,1,0.2,100,200,58,Costa Rica,0.4,100,400,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cca,NA,NA,NA,NA,Costa Rica,Costa Rica,Vegetables,9,3,CRI,1.8,100,200,5.4,1.8,100,200,58,Costa Rica,1.8,100,200,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1996,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ccb,NA,NA,NA,NA,Costa Rica,Costa Rica,Banana,29,4,CRI,17.4,100,600,34.8,14.5,100,500,58,Costa Rica,2.9,100,100,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ccc,NA,NA,NA,NA,Costa Rica,Costa Rica,Oil palm,25,4,CRI,2.5,100,100,3.8,1.3,100,50,58,Costa Rica,0,NA,NA,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ccd,NA,NA,NA,NA,Costa Rica,Costa Rica,Potato,3,4,CRI,0.6,100,200,2.7,0.6,100,200,58,Costa Rica,1.5,100,500,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cce,NA,NA,NA,NA,Costa Rica,Costa Rica,Tobacco,1,4,CRI,0.4,100,400,1,0.2,100,200,58,Costa Rica,0.4,100,400,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ccf,NA,NA,NA,NA,Costa Rica,Costa Rica,Vegetables,9,4,CRI,1.8,100,200,5.4,1.8,100,200,58,Costa Rica,1.8,100,200,Latin America,4.23080088505,22.2258621173,22.2258621173,1991,1999,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cd0,NA,NA,NA,NA,Costa Rica,Costa Rica,Cocoa,3.5,5,CRI,0.1,35,60,0.3,0.1,35,100,58,Costa Rica,0.1,35,50,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cd1,NA,NA,NA,NA,Costa Rica,Costa Rica,Maize,13.2,5,CRI,0.1,40,20,0.9,0.5,40,100,58,Costa Rica,0.3,40,40,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cd2,NA,NA,NA,NA,Costa Rica,Costa Rica,Fruits (other),17,5,CRI,0.5,50,75,2.4,1.3,50,150,58,Costa Rica,0.6,50,75,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cd3,NA,NA,NA,NA,Costa Rica,Costa Rica,Citrus fruits,23.5,5,CRI,1.9,60,80,5,1.7,60,120,58,Costa Rica,1.4,60,60,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cd4,NA,NA,NA,NA,Costa Rica,Costa Rica,Cotton,0.3,5,CRI,0,60,100,0,0,60,120,58,Costa Rica,0,60,120,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cd5,NA,NA,NA,NA,Costa Rica,Costa Rica,Pineapple,9.2,5,CRI,3.2,80,350,5.4,1.5,80,200,58,Costa Rica,0.7,80,100,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cd6,NA,NA,NA,NA,Costa Rica,Costa Rica,Sugar cane,47.9,5,CRI,2,90,60,7.8,4.3,90,100,58,Costa Rica,1.5,90,40,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cd7,NA,NA,NA,NA,Costa Rica,Costa Rica,Tomato,0.3,5,CRI,0,90,150,0,0,90,90,58,Costa Rica,0,90,120,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cd8,NA,NA,NA,NA,Costa Rica,Costa Rica,Banana,66.2,5,CRI,29.8,100,450,66.2,29.8,100,450,58,Costa Rica,6.6,100,100,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cd9,NA,NA,NA,NA,Costa Rica,Costa Rica,Coffee,180,5,CRI,14.4,100,100,57.6,36,100,200,58,Costa Rica,7.2,100,50,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cda,NA,NA,NA,NA,Costa Rica,Costa Rica,Oil Palm,26.6,5,CRI,2.7,100,100,5.4,1.6,100,60,58,Costa Rica,1.1,100,40,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cdb,NA,NA,NA,NA,Costa Rica,Costa Rica,Potato,3.7,5,CRI,0.6,100,150,2.7,0.6,100,150,58,Costa Rica,1.5,100,400,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cdc,NA,NA,NA,NA,Costa Rica,Costa Rica,Pulses,43.3,5,CRI,4.2,100,120,7.7,2.6,100,60,58,Costa Rica,0.9,100,40,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cdd,NA,NA,NA,NA,Costa Rica,Costa Rica,"Rice, paddy",84.1,5,CRI,2.3,100,30,16.8,11.8,100,140,58,Costa Rica,2.7,100,40,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cde,NA,NA,NA,NA,Costa Rica,Costa Rica,Tobacco,0.3,5,CRI,0.1,100,200,0.3,0.1,100,200,58,Costa Rica,0.1,100,300,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cdf,NA,NA,NA,NA,Costa Rica,Costa Rica,Vegetables,10.8,5,CRI,1.5,100,150,5,2.2,100,200,58,Costa Rica,1.3,100,150,Latin America,4.23080088505,22.2258621173,22.2258621173,1997,2002,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ce0,NA,NA,NA,NA,Costa Rica,Costa Rica,Bean,50,2,CRI,0.1,10,25,0.4,0.1,10,25,58,COSTA RICA,0.1,10,25,Latin America,4.23080088505,22.2258621173,22.2258621173,1991/92,1994,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ce1,NA,NA,NA,NA,Costa Rica,Costa Rica,Cocoa,10,2,CRI,0.2,30,50,0.6,0.3,30,100,58,COSTA RICA,0.2,30,50,Latin America,4.23080088505,22.2258621173,22.2258621173,1991/92,1994,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ce2,NA,NA,NA,NA,Costa Rica,Costa Rica,Fruits (Other),16,2,CRI,0.5,40,75,1.9,1,40,150,58,COSTA RICA,0.5,40,75,Latin America,4.23080088505,22.2258621173,22.2258621173,1991/92,1994,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ce3,NA,NA,NA,NA,Costa Rica,Costa Rica,Maize,60,2,CRI,0.5,40,20,2.4,1.4,40,60,58,COSTA RICA,0.5,40,20,Latin America,4.23080088505,22.2258621173,22.2258621173,1991/92,1994,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ce4,NA,NA,NA,NA,Costa Rica,Costa Rica,Sorghum,5,2,CRI,0,60,30,0.4,0.2,60,80,58,COSTA RICA,0,60,30,Latin America,4.23080088505,22.2258621173,22.2258621173,1991/92,1994,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ce5,NA,NA,NA,NA,Costa Rica,Costa Rica,Cotton,1,2,CRI,0,70,120,0.3,0.1,70,200,58,COSTA RICA,0,70,120,Latin America,4.23080088505,22.2258621173,22.2258621173,1991/92,1994,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ce6,NA,NA,NA,NA,Costa Rica,Costa Rica,Coffee,105,2,CRI,8.4,80,100,29.4,16.8,80,200,58,COSTA RICA,4.2,80,50,Latin America,4.23080088505,22.2258621173,22.2258621173,1991/92,1994,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ce7,NA,NA,NA,NA,Costa Rica,Costa Rica,Pineapple,6,2,CRI,2.4,80,500,4.3,1.4,80,300,58,COSTA RICA,0.5,80,100,Latin America,4.23080088505,22.2258621173,22.2258621173,1991/92,1994,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ce8,NA,NA,NA,NA,Costa Rica,Costa Rica,Sugar Cane,40,2,CRI,1.6,80,50,6.4,3.2,80,100,58,COSTA RICA,1.6,80,50,Latin America,4.23080088505,22.2258621173,22.2258621173,1991/92,1994,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ce9,NA,NA,NA,NA,Costa Rica,Costa Rica,Rice,40,2,CRI,0.9,85,25,6.3,4.1,85,120,58,COSTA RICA,1.4,85,40,Latin America,4.23080088505,22.2258621173,22.2258621173,1991/92,1994,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cea,NA,NA,NA,NA,Costa Rica,Costa Rica,Banana,29,2,CRI,17.4,100,600,34.8,14.5,100,500,58,COSTA RICA,2.9,100,100,Latin America,4.23080088505,22.2258621173,22.2258621173,1991/92,1994,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ceb,NA,NA,NA,NA,Costa Rica,Costa Rica,Oil-Palm,25,2,CRI,2.5,100,100,3.8,1.3,100,50,58,COSTA RICA,0,0,0,Latin America,4.23080088505,22.2258621173,22.2258621173,1991/92,1994,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001cec,NA,NA,NA,NA,Costa Rica,Costa Rica,Potato,3,2,CRI,0.6,100,200,2.7,0.6,100,200,58,COSTA RICA,1.5,100,500,Latin America,4.23080088505,22.2258621173,22.2258621173,1991/92,1994,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
00000000000000001ced,NA,NA,NA,NA,Costa Rica,Costa Rica,Tobacco,1,2,CRI,0.4,100,400,1,0.2,100,200,58,COSTA RICA,0.4,100,400,Latin America,4.23080088505,22.2258621173,22.2258621173,1991/92,1994,"{""type"":""Point"",""coordinates"":[-84.19599072950051,9.970314739116077]}"
